name,url,image,latitude,longitude,accessibility
Propustek,https://www.kafelanka.cz/mista/propustky.php,https://www.kafelanka.cz/v/propustky-3.jpg,49.2095019444,16.6535847222,přístupné
Propustek,https://www.kafelanka.cz/mista/propustky.php,https://www.kafelanka.cz/v/propustky-1.jpg,49.2100527778,16.6546611111,přístupné
Vodojemy,https://www.kafelanka.cz/mista/vodojem5.php,https://www.kafelanka.cz/v/vodojem5-1.jpg,49.1834247222,16.5577197222,přístupné
Šachta,https://www.kafelanka.cz/mista/sachta2.php,https://www.kafelanka.cz/v/sachta2-1.jpg,49.1899588889,16.58903,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka2.php,https://www.kafelanka.cz/v/studanka2-1.jpg,49.2335597222,16.6152166667,přístupné
Sklípek II,https://www.kafelanka.cz/mista/sklep2.php,https://www.kafelanka.cz/v/sklep2-1.jpg,49.2344469444,16.60726,přístupné
Potrubí,https://www.kafelanka.cz/mista/potrubi.php,https://www.kafelanka.cz/v/potrubi-1.jpg,49.2100194444,16.6374638889,přístupné
Zbrojovka,https://www.kafelanka.cz/mista/zbroj.php,https://www.kafelanka.cz/v/zbroj-1.jpg,49.2054305556,16.6327388889,přístupné
Sklad,https://www.kafelanka.cz/mista/sklad3.php,https://www.kafelanka.cz/v/sklad3-1.jpg,49.1962327778,16.5253219444,přístupné
Dům,https://www.kafelanka.cz/mista/dum.php,https://www.kafelanka.cz/v/dum-1.jpg,49.1965769444,16.524495,přístupné
Podchod,https://www.kafelanka.cz/mista/podchod.php,https://www.kafelanka.cz/v/podchod-1.jpg,49.1948327778,16.5233127778,přístupné
Hodiny,https://www.kafelanka.cz/mista/hodiny2.php,https://www.kafelanka.cz/v/hodiny2-1.jpg,49.1950777778,16.5399019444,přístupné
Vyhlídka,https://www.kafelanka.cz/mista/vyhlidka.php,https://www.kafelanka.cz/v/vyhlidka-3.jpg,49.1855627778,16.56715,přístupné
Parovod,https://www.kafelanka.cz/mista/parovod3.php,https://www.kafelanka.cz/v/parovod3-2.jpg,49.2073083333,16.6315916667,přístupné
Parovod,https://www.kafelanka.cz/mista/parovod3.php,https://www.kafelanka.cz/v/parovod3-2.jpg,49.20555,16.6302472222,přístupné
Věž,https://www.kafelanka.cz/mista/vez2.php,https://www.kafelanka.cz/v/vez2-1.jpg,49.2053319444,16.6306027778,přístupné
Snaha,https://www.kafelanka.cz/mista/snaha.php,https://www.kafelanka.cz/v/snaha-1.jpg,49.2056611111,16.6051888889,přístupné
Sklep,https://www.kafelanka.cz/mista/sklep4.php,https://www.kafelanka.cz/v/sklep4-3.jpg,49.1844194444,16.57165,přístupné
